pH,TDS,Turbidity,Phospate,Nitrate,Iron,COD(mg/L),Chlorine,Sodium,Class
7.6,877,3.59,0.026136421,8,0.378500202,397,4,8,1
7.6,729,1.75,0.020621767,6,0.333759315,397,3,9,1
7.5,622,3.44,0.004070781,7,0.382368372,394,4,16,0
7.6,864,2.8,0.022071488,7,0.313914541,403,2,5,0
7.6,656,1.81,0.004031216,7,0.333226101,421,4,11,0
7.6,859,1.91,0.004770334,7,0.36537009,400,2,8,0
7.5,798,4.06,0.0198379,7,0.305210929,403,3,11,0
7.6,888,0.81,0.001481194,6,0.369949368,403,4,8,0
7.6,632,1.64,0.02791154,8,0.310385281,399,4,15,1
7.5,920,3.71,0.008929628,8,0.30196777,408,4,19,0
7.6,794,0.19,0.002358764,6,0.325218787,419,2,10,0
7.6,917,2.68,0.00504834,7,0.386285387,391,4,9,0
7.6,832,3.94,0.021389486,8,0.336883355,406,3,20,0
7.5,745,4.2,0.001715097,6,0.331267436,420,2,6,0
7.6,919,1.69,0.005012101,7,0.388677452,413,1,7,0
7.6,671,1.08,0.021624929,8,0.325210443,400,2,9,0
7.5,905,3.6,0.008567466,7,0.407514781,426,1,18,0
7.6,624,0.67,0.012598846,8,0.400074222,401,1,17,0
7.6,808,2.73,0.010368147,7,0.31536225,426,2,17,0
7.6,642,2.19,0.017463463,7,0.332021933,426,3,6,0
7.5,656,1.8,0.026507732,7,0.305178778,428,1,16,0
7.6,718,3.41,0.011504929,6,0.324513626,410,3,10,0
7.6,804,0.65,0.003755426,7,0.332231712,402,4,19,0
7.5,871,1.19,0.0227928,8,0.303421164,394,1,7,1
7.6,678,2.54,0.019581002,6,0.313452375,419,3,3,0
7.6,797,2.77,0.025084951,6,0.398479479,402,3,11,0
7.6,659,1.13,0.005270426,6,0.354642506,418,2,2,0
7.5,737,0.32,0.002097108,7,0.400463094,427,3,15,0
7.6,803,1.09,0.029563218,8,0.384476636,390,2,1,1
7.6,964,3.62,0.018422966,7,0.325592008,410,2,18,0
7.5,955,3.89,0.001643238,7,0.382895207,414,3,3,0
7.6,853,1.44,0.006261419,8,0.338057152,395,2,3,1
7.6,733,0.36,0.023070039,8,0.398285521,421,2,18,0
7.6,901,0.21,0.019793737,7,0.332657012,409,2,17,0
7.5,667,2.45,0.003669212,8,0.357735843,428,2,2,0
7.4,837,2.25,0.024320338,6,0.329754769,393,2,11,1
7.4,926,0.82,0.006550493,8,0.384792469,397,4,1,0
7.6,948,0.53,0.023110669,8,0.364934135,408,1,17,0
7.5,895,2.74,0.00834565,6,0.302832131,397,3,8,1
7.6,822,3.86,0.027127708,7,0.312116099,426,3,13,0
