pH,TDS,Turbidity,Phospate,Nitrate,Iron,COD(mg/L),Chlorine,Sodium,Class
7.6,756,2.42,0.013579805,8,0.408453004,398,3,2,0
7.6,897,1.33,0.014004853,8,0.309560662,392,1,13,4
7.5,951,2.29,0.016966265,7,0.3172136,418,1,15,3
7.6,767,2,0.01807249,7,0.317923239,415,4,4,3
7.6,921,2.03,0.012102027,8,0.347553608,404,2,12,3
7.6,835,1.35,0.007798026,6,0.384175593,392,4,19,4
7.5,976,2.21,0.017084471,6,0.353536894,427,1,15,3
7.6,724,0.23,0.001213692,8,0.390924323,407,4,6,3
7.6,714,1.52,0.001790736,8,0.300498427,419,3,9,3
7.5,837,0.53,0.026121604,8,0.40512225,397,2,13,0
7.6,833,0.86,0.019521238,8,0.345500506,402,2,17,3
7.6,785,1.1,0.018660536,6,0.340826579,393,4,14,4
7.6,907,1.65,0.000157016,6,0.329962972,408,1,14,3
7.5,807,3.91,0.028837988,7,0.349402346,415,1,2,3
7.6,735,2.94,0.016598143,8,0.395081147,403,2,16,3
7.6,911,1.68,0.0159465,6,0.334179324,424,3,16,3
7.5,862,0.64,0.005103071,7,0.309590222,414,3,7,3
7.6,814,0.63,0.014549504,7,0.353007732,414,3,16,3
7.6,733,3.09,0.000289073,6,0.393503173,422,3,6,3
7.6,777,3.47,0.01899432,7,0.326825799,421,1,7,3
7.5,635,1.66,0.019079561,7,0.327349787,407,3,8,3
7.6,840,3.45,0.002139426,8,0.303209212,390,1,9,1
7.6,881,3.07,0.016087693,8,0.318167409,414,3,11,3
7.5,795,0.15,0.015465093,8,0.31409313,422,4,18,3
7.6,679,2.51,0.02697762,7,0.358816731,424,3,1,3
7.6,833,0.82,0.021923582,8,0.327107611,408,1,1,3
7.6,743,0.39,0.027153344,8,0.394512546,398,4,17,4
7.5,640,3.32,0.003521244,6,0.351619891,394,2,1,1
7.6,673,0.14,0.012823588,7,0.374532674,396,2,3,4
7.6,778,1.96,0.009626493,7,0.323483204,415,2,10,3
7.5,906,2.59,0.019548238,6,0.36256176,429,3,8,3
7.6,707,3.32,0.02952139,7,0.315792267,423,2,7,3
7.6,957,1.41,0.021414034,7,0.315379989,414,4,6,3
7.6,781,3.79,0.018793276,7,0.34085669,395,1,8,4
7.5,642,4.11,0.020355381,8,0.367197951,408,1,9,3
7.4,763,3.79,0.017932294,7,0.347774079,423,2,17,3
7.4,807,1.2,0.019960048,8,0.32107216,412,4,3,3
7.6,787,1.82,0.010261,7,0.323911264,390,1,19,4
7.5,772,0.33,0.016067915,7,0.327720128,428,3,13,3
7.6,755,0.5,0.008980501,6,0.349665871,430,3,12,3
7.4,834,0.21,0.018370216,8,0.351297987,420,1,9,3
7.5,662,3.13,0.013921348,6,0.333151432,419,1,9,3
7.6,893,1.81,0.015022302,7,0.314176401,401,1,11,3
7.6,641,1.62,0.027779935,7,0.316465029,413,4,10,3
7.5,958,1.31,0.005838219,6,0.349520503,416,2,16,3
7.4,966,0.98,0.003058687,7,0.310032195,402,2,11,3
7.5,953,1.36,0.021135991,6,0.317305703,416,3,15,3
7.6,873,3.7,0.006120101,8,0.323557388,406,4,4,3
7.6,916,3.81,0.02938724,7,0.330486116,425,2,6,3
7.5,635,1.31,0.029252893,8,0.387907233,399,2,13,4
7.4,729,0.56,0.024581059,6,0.367265768,423,2,11,3
7.5,878,4.19,0.016802703,7,0.382946398,424,4,10,3
7.6,967,4.06,0.016580534,8,0.309046417,395,3,14,2
7.6,703,0.58,0.0218027,7,0.334705526,412,2,14,3
7.5,820,3.27,0.024932714,7,0.347436581,390,2,17,4
7.6,707,1.36,0.005514075,8,0.322102795,390,4,7,4
7.6,715,3.78,0.002451297,8,0.359657907,415,3,9,3
7.5,690,3.19,0.022221565,7,0.34568419,404,1,14,3
7.6,870,3,0.007962825,7,0.402707798,424,3,20,3
7.6,719,2.09,0.01165006,6,0.398013635,402,2,3,3
7.6,784,3.3,0.029489845,8,0.390278232,409,4,18,3
7.5,665,2.01,0.018465331,8,0.392824263,408,4,4,3
7.6,898,1.53,0.023826337,8,0.330216733,391,2,7,4
7.6,754,0.25,0.009272763,7,0.364824172,399,4,5,4
7.5,663,3.9,0.006794227,7,0.377888834,407,3,16,3
7.6,823,3.44,0.004831797,7,0.340140868,428,1,7,3
7.6,904,3.32,0.002534284,6,0.319259651,397,2,19,2
7.6,781,3.93,0.003443539,8,0.303328875,396,4,16,1
7.6,901,3.87,0.018993343,7,0.385180033,408,4,4,3
7.5,668,1.93,0.020243528,8,0.39094441,425,3,3,3
7.4,959,2.61,0.014456462,8,0.394097111,395,3,18,2
7.4,630,2.46,0.02342946,6,0.366994169,415,4,9,3
7.6,927,1.6,0.00955945,7,0.302148707,409,3,2,3
7.5,864,0.94,0.01367606,8,0.34246418,401,2,3,3
7.6,721,3.05,0.025878725,7,0.336391143,411,3,9,3
7.6,920,1.69,0.020623116,7,0.401085427,430,3,19,3
7.5,654,3.11,0.011281227,8,0.348404374,407,4,15,3
7.6,813,1.05,0.011601639,8,0.313776845,394,2,19,4
7.6,683,3.4,0.004509241,7,0.316996068,423,2,17,3
7.6,817,2.28,0.022759721,7,0.368772565,395,4,6,4
7.5,801,3.72,0.001370018,8,0.328958379,412,2,12,3
7.6,804,0.94,0.029953356,7,0.336300253,423,1,3,3
7.6,832,2.82,0.027570267,7,0.399639598,406,3,1,3
7.5,835,3.63,0.004370363,8,0.301364685,410,1,12,3
7.6,968,3.04,0.017961681,7,0.348728209,426,1,19,3
7.6,744,2.38,0.019349921,7,0.398839438,393,2,7,4
7.6,979,1.98,0.02708227,8,0.337808848,428,4,13,3
7.5,921,2.17,0.002402621,7,0.399645328,407,2,13,3
7.6,657,1.36,0.021680427,7,0.372426309,422,4,19,3
7.5,731,2.9,0.006973478,6,0.342327362,396,2,9,4
7.6,701,2.05,0.008717264,8,0.348374447,418,3,9,3
7.6,649,1.63,0.007322216,7,0.362197341,413,2,7,3
7.6,660,1.69,0.00154468,7,0.351151497,414,4,3,3
7.5,864,3.81,0.006329514,8,0.34456865,399,4,10,4
7.6,876,0.75,0.026903765,6,0.306426284,408,3,2,3
7.6,673,1.54,0.005789833,7,0.37976313,417,3,4,3
7.5,880,3.63,0.005959586,7,0.382266149,390,4,2,4
7.6,842,2.77,0.014593601,7,0.302197809,426,3,6,3
7.6,830,1.72,0.017443077,7,0.352913121,425,3,16,3
7.6,939,3.67,0.008329174,6,0.343759195,420,3,8,3
7.530067213,668,3.03,0.016782318,6,0.382111399,414,3,8,3
7.557499791,849,3.39,0.004588467,6,0.305613987,410,1,2,3
7.539207748,863,2.19,0.010902174,6,0.384029643,393,3,2,4
